New York,New York,California
Los Angeles,California,Texas
Chicago,Illinois,Florida
Houston,Texas,Arizona
Phoenix,Arizona,Nevada
Philadelphia,Pennsylvania,Ohio
San Antonio,Texas,New Mexico
San Diego,California,Oregon
Dallas,Texas,Georgia
San Jose,California,Colorado
Austin,Texas,Oklahoma
Jacksonville,Florida,Alabama
Fort Worth,Texas,Kansas
Columbus,Ohio,Michigan
Charlotte,North Carolina,Virginia
Indianapolis,Indiana,Missouri
San Francisco,California,Washington
Seattle,Washington,Montana
Denver,Colorado,Wyoming
Boston,Massachusetts,New Jersey
Nashville,Tennessee,Kentucky
Detroit,Michigan,Indiana
Oklahoma City,Oklahoma,Arkansas
Portland,Oregon,Idaho
Las Vegas,Nevada,Utah
Memphis,Tennessee,Mississippi
Louisville,Kentucky,West Virginia
Baltimore,Maryland,Delaware
Milwaukee,Wisconsin,Minnesota
Albuquerque,New Mexico,Texas
Tucson,Arizona,California
Fresno,California,Nevada
Sacramento,California,Oregon
Kansas City,Missouri,Kansas
Atlanta,Georgia,South Carolina
Miami,Florida,Georgia
Raleigh,North Carolina,Tennessee
Omaha,Nebraska,Iowa
Long Beach,California,Arizona
Virginia Beach,Virginia,North Carolina
Oakland,California,Washington
Minneapolis,Minnesota,South Dakota
Tulsa,Oklahoma,Missouri
Arlington,Texas,Oklahoma
Tampa,Florida,Alabama
New Orleans,Louisiana,Mississippi
Wichita,Kansas,Oklahoma
Cleveland,Ohio,Pennsylvania
Bakersfield,California,Nevada
Aurora,Colorado,Nebraska
Anaheim,California,Arizona
Honolulu,Hawaii,California
